Athlete Name,Country,Sport,Gender,Age,Gold Medals,Silver Medals,Bronze Medals
Hae-Ran Kim,Republic of Korea,Volleyball,F,28,0,0,0
Hakman Kim,Republic of Korea,Shooting,M,36,0,0,0
Hee-Jin Kim,Republic of Korea,Volleyball,F,21,0,0,0
Hyejin Kim,Republic of Korea,Swimming,F,18,0,0,0
Hyeonwoo Kim,Republic of Korea,Wrestling,M,23,1,0,0
Hyok Bong Kim,Democratic People's Republic  of Korea,Table Tennis,M,26,0,0,0
Hyungjoo Kim,Republic of Korea,Wrestling,F,27,0,0,0
Hyunsub Kim,Republic of Korea,Athletics,M,27,0,0,0
Hyunsung Kim,Republic of Korea,Football,M,22,0,0,1
Jae Hyeon Kim,Republic of Korea,Hockey,M,24,0,0,0
Jae-Bum Kim,Republic of Korea,Judo,M,27,1,0,0
Jan-Di Kim,Republic of Korea,Judo,F,21,0,0,0
Jangmi Kim,Republic of Korea,Shooting,F,19,1,0,0
Jin Ok Kim,Democratic People's Republic  of Korea,Diving,F,21,0,0,0
Jincheol Kim,Republic of Korea,Wrestling,M,23,0,0,0
Jinhyeok Kim,Republic of Korea,Wrestling,M,23,0,0,0
Jiyeon Kim,Republic of Korea,Fencing,F,24,1,0,0
Jong Kim,Democratic People's Republic  of Korea,Table Tennis,F,23,0,0,0
Jongeun Kim,Republic of Korea,Hockey,F,26,0,0,0
Jonghee Kim,Republic of Korea,Hockey,F,26,0,0,0
Jonghyun Kim,Republic of Korea,Shooting,M,27,0,1,0
Junghwan Kim,Republic of Korea,Fencing,M,28,1,0,0
Keehee Kim,Republic of Korea,Football,M,23,0,0,1
Kum Sok Kim,Democratic People's Republic  of Korea,Weightlifting,M,24,0,0,0
Kum-Ok Kim,Democratic People's Republic  of Korea,Athletics,F,23,0,0,0
Kwang-Hyok Kim,Democratic People's Republic  of Korea,Athletics,M,24,0,0,0
Kyeongae Kim,Republic of Korea,Shooting,F,22,0,0,0
Kyung-Ok Kim,Republic of Korea,Judo,F,29,0,0,0
Kyungah Kim,Republic of Korea,Table Tennis,F,35,0,0,0
Mi-Gyong Kim,Democratic People's Republic  of Korea,Athletics,F,20,0,0,0
Min Jung Kim,Republic of Korea,Badminton,F,26,0,0,0
Min-Jae Kim,Republic of Korea,Weightlifting,M,28,0,0,0
Minwoo Kim,Republic of Korea,Football,M,22,0,0,0
Myong Gum Kim,Democratic People's Republic  of Korea,Football,F,21,0,0,0
Myong Hyok Kim,Democratic People's Republic  of Korea,Weightlifting,M,21,0,0,0
Myungshin Kim,Republic of Korea,Rowing,F,28,0,0,0
Na-Young Kim,Republic of Korea,Judo,F,24,0,0,0
Nam Hui Kim,Democratic People's Republic  of Korea,Football,F,18,0,0,0
Okju Kim,Republic of Korea,Hockey,F,24,0,0,0
On A Kim,Republic of Korea,Handball,F,23,0,0,0
Sa-Nee Kim,Republic of Korea,Volleyball,F,31,0,0,0
Seongeun Kim,Republic of Korea,Athletics,F,23,0,0,0
Seoyeong Kim,Republic of Korea,Swimming,F,18,0,0,0
Sol Ji Kim,Republic of Korea,Rowing,F,22,0,0,0
Song Hui Kim,Democratic People's Republic  of Korea,Football,F,25,0,0,0
Song Nam Kim,Democratic People's Republic  of Korea,Table Tennis,M,19,0,0,0
Su Gyong Kim,Democratic People's Republic  of Korea,Football,F,17,0,0,0
Suji Kim,Republic of Korea,Diving,F,14,0,0,0
Sung-Min Kim,Republic of Korea,Judo,M,25,0,0,0
Un Guk Kim,Democratic People's Republic  of Korea,Weightlifting,M,23,1,0,0
Un Hyang Kim,Democratic People's Republic  of Korea,Diving,F,20,0,0,0
Un Hyang Kim,Democratic People's Republic  of Korea,Football,F,18,0,0,0
Whaseung Kim,Republic of Korea,Weightlifting,M,27,0,0,0
Yeji Kim,Republic of Korea,Rowing,F,17,0,0,0
Yeon-Koung Kim,Republic of Korea,Volleyball,F,24,0,0,0
Yoo Suk Kim,Republic of Korea,Athletics,M,30,0,0,0
Young Jin Kim,Republic of Korea,Hockey,M,27,0,0,0
Younggwon Kim,Republic of Korea,Football,M,22,0,0,1
Youngkwang Kim,Republic of Korea,Football,M,29,0,0,0
Youngran Kim,Republic of Korea,Hockey,F,27,0,0,0
Lucia Kimani,Bosnia and Herzegovina,Athletics,F,31,0,0,0
Devilert Arsene Kimbembe,Congo,Athletics,M,27,0,0,0
Trell Kimmons,United States of America,Athletics,M,27,0,1,0
Ayako Kimura,Japan,Athletics,F,24,0,0,0
Saori Kimura,Japan,Volleyball,F,25,0,0,1
Justinas Kinderis,Lithuania,Modern Pentathlon,M,25,0,0,0
Ingo Kindervater,Germany,Badminton,M,33,0,0,0
Iryna Kindzerska,Ukraine,Judo,F,21,0,0,0
Arantxa King,Bermuda,Athletics,F,22,0,0,0
Dani King,Great Britain,Cycling - Track,F,21,1,0,0
Dominic King,Great Britain,Athletics,M,29,0,0,0
Julia King,New Zealand,Hockey,F,19,0,0,0
Mary King,Great Britain,Equestrian,F,51,0,1,0
Savannah King,Canada,Swimming,F,20,0,0,0
Sean King,Great Britain,Water Polo,M,23,0,0,0
Yukari Kinga,Japan,Football,F,28,0,1,0
Nienke Kingma,Netherlands,Rowing,F,30,0,0,1
Bernardin Ledoux Kingue Matam,France,Weightlifting,M,22,0,0,0
Jarkko Kinnunen,Finland,Athletics,M,28,0,0,0
Craig Kinsley,United States of America,Athletics,M,23,0,0,0
Jaclyn Kintzer,United States of America,Hockey,F,24,0,0,0
Benjamin Kiplagat,Uganda,Athletics,M,23,0,0,0
Edna Ngeringwony Kiplagat,Kenya,Athletics,F,32,0,0,0
Lornah Kiplagat,Netherlands,Athletics,F,38,0,0,0
Silas Kiplagat,Kenya,Athletics,M,22,0,0,0
Abraham Kiplimo,Uganda,Athletics,M,23,0,0,0
Shalaya Kipp,United States of America,Athletics,F,21,0,0,0
Asbel Kiprop,Kenya,Athletics,M,23,0,0,0
Wilson Kiprop,Kenya,Athletics,M,25,0,0,0
Abraham Kiprotich,France,Athletics,M,26,0,0,0
Stephen Kiprotich,Uganda,Athletics,M,23,1,0,0
Wilson Kipsang Kiprotich,Kenya,Athletics,M,30,0,0,1
Brimin Kiprop Kipruto,Kenya,Athletics,M,27,0,0,0
Moses Ndiema Kipsiro,Uganda,Athletics,M,25,0,0,0
Sally Jepkosgei Kipyego,Kenya,Athletics,F,26,0,1,0
Faith Chepngetich Kipyegon,Kenya,Athletics,F,18,0,0,0
Ummu Kiraz,Turkey,Athletics,F,29,0,0,0
Miroslav Kirchev,Bulgaria,Canoe Sprint,M,22,0,0,0
Ozge Kirdar Cemberci,Turkey,Volleyball,F,27,0,0,0
Sergey Kirdyapkin,Russian Federation,Athletics,M,32,1,0,0
Anisya Kirdyapkina,Russian Federation,Athletics,F,22,0,0,0
Nikoleta Kiriakopoulou,Greece,Athletics,F,26,0,0,0
Andrei Kirilenko,Russian Federation,Basketball,M,31,0,0,1
Maria Kirilenko,Russian Federation,Tennis,F,25,0,0,1
Peter Kirkbride,Great Britain,Weightlifting,M,24,0,0,0
Brian Kirkham,Australia,Cycling - BMX,M,26,0,0,0
Glenn Kirkham,Great Britain,Hockey,M,29,0,0,0
Alexander Kirkland,Bermuda,Sailing,M,29,0,0,0
Jesse Kirkland,Bermuda,Sailing,M,24,0,0,0
Dmytro Kirpulyanskyy,Ukraine,Modern Pentathlon,M,27,0,0,0
Abel Kirui,Kenya,Athletics,M,30,0,1,0
Vasil Kiryienka,Belarus,Cycling - Road,M,31,0,0,0
Gergo Kis,Hungary,Swimming,M,24,0,0,0
Svetlana Kiseliova,Ukraine,Equestrian,F,40,0,0,0
Seiya Kishikawa,Japan,Table Tennis,M,25,0,0,0
Takayuki Kishimoto,Japan,Athletics,M,22,0,0,0
Alphas Leken Kishoyian,Kenya,Athletics,M,18,0,0,0
Rachid Kisri,Morocco,Athletics,M,37,0,0,0
Daniel Kiss,Hungary,Athletics,M,30,0,0,0
Gergely Kiss,Hungary,Water Polo,M,34,0,0,0
Hanna Kisteleki,Hungary,Water Polo,F,21,0,0,0
Felipe Kitadai,Brazil,Judo,M,23,0,0,1
Kosuke Kitajima,Japan,Swimming,M,29,0,1,0
Shinobu Kitamoto,Japan,Canoe Sprint,F,35,0,0,0
George Kitchens,United States of America,Athletics,M,29,0,0,0
Patrik Kittel,Sweden,Equestrian,M,36,0,0,0
Timothy Kitum,Kenya,Athletics,M,17,0,0,1
Alena Kiyevich,Belarus,Athletics,F,24,0,0,0
Hiroshi Kiyotake,Japan,Football,M,22,0,0,0
Ryoko Kizaki,Japan,Athletics,F,27,0,0,0
Anna Kjellberg,Sweden,Sailing,F,28,0,0,0
Kathrin Klaas,Germany,Athletics,F,28,0,0,0
Jozef Klaassen,Netherlands,Rowing,M,29,0,0,0
Rachel Klamer,Netherlands,Triathlon,F,21,0,0,0
Matyas Klang,Czech Republic,Rowing,M,21,0,0,0
Hana Klapalova,Czech Republic,Beach Volleyball,F,30,0,0,0
Gauthier Klauss,France,Canoe Slalom,M,24,0,0,0
Frithjof Kleen,Germany,Sailing,M,29,0,0,0
Benjamin Kleibrink,Germany,Fencing,M,27,0,0,1
Sascha Klein,Germany,Diving,M,26,0,0,0
Nadine Kleinert,Germany,Athletics,F,36,0,0,0
Linas Kleiza,Lithuania,Basketball,M,27,0,0,0
Aleksandra J Klejnowska-Krzywanska,Poland,Weightlifting,F,29,0,0,0
Meindert Klem,Netherlands,Rowing,M,24,0,0,0
Blaza Klemencic,Slovenia,Cycling - Mountain Bike,F,32,0,0,0
Andreja Klepac,Slovenia,Tennis,F,26,0,0,0
Valentyn Kletskoy,Ukraine,Rowing,M,27,0,0,0
Gideon Kliger,Israel,Sailing,M,32,0,0,0
Jarmila Klimesova,Czech Republic,Athletics,F,31,0,0,0
Ingrid Klimke,Germany,Equestrian,F,44,1,0,0
Alexei Klimov,Russian Federation,Shooting,M,36,0,0,0
Anja Klinar,Slovenia,Swimming,F,24,0,0,0
Meghan Klingenberg,United States of America,Football,F,24,0,0,0
Martin Klizan,Slovakia,Tennis,M,23,0,0,0
Ivan Kljakovic Gaspic,Croatia,Sailing,M,28,0,0,0
Tomas Klobucnik,Slovakia,Swimming,M,22,0,0,0
Lucia Klocova,Slovakia,Athletics,F,28,0,0,0
Dmitriy Klokov,Russian Federation,Weightlifting,M,29,0,0,0
Christiane Klopsch,Germany,Athletics,F,21,0,0,0
Timm Klose,Switzerland,Football,M,24,0,0,0
Eliska Klucinova,Czech Republic,Athletics,F,24,0,0,0
Roger Kluge,Germany,Cycling - Track,M,26,0,0,0
Katarzyna Klys,Poland,Judo,F,26,0,0,0
Ivana Kmetova,Slovakia,Canoe Sprint,F,27,0,0,0
Ruben Knab,Netherlands,Rowing,M,24,0,0,0
Miroslava Knapkova,Czech Republic,Rowing,F,31,1,0,0
Milena Knezevic,Montenegro,Handball,F,22,0,1,0
Bianca Knight,United States of America,Athletics,F,23,1,0,0
Nizar Knioua,Tunisia,Basketball,M,29,0,0,0
Sven Knipphals,Germany,Athletics,M,26,0,0,0
Eric Knittel,Germany,Rowing,M,29,0,0,0
Jan Felix Knobel,Germany,Athletics,M,23,0,0,0
Mark Knowles,Australia,Hockey,M,28,0,0,1
Bronwen Knox,Australia,Water Polo,F,26,0,0,1
Michael Knudsen,Denmark,Handball,M,33,0,0,0
Hanna Knyazyeva,Ukraine,Athletics,F,22,0,0,0
Kyungsoo Ko,Republic of Korea,Handball,M,27,0,0,0
Sung Hyun Ko,Republic of Korea,Badminton,M,25,0,0,0
Marthe Koala,Burkina Faso,Athletics,F,18,0,0,0
Primoz Kobe,Slovenia,Athletics,M,31,0,0,0
Gerard Kobeane,Burkina Faso,Athletics,M,24,0,0,0
Daniyar Kobonov,Kyrgyzstan,Wrestling,M,29,0,0,0
Yuki Kobori,Japan,Swimming,M,18,0,0,0
Kristel Kobrich,Chile,Swimming,F,27,0,0,0
Gulsah Kocaturk,Turkey,Judo,F,26,0,0,0
Henriette Koch,Denmark,Sailing,F,27,0,0,0
Marco Koch,Germany,Swimming,M,22,0,0,0
Cherono Koech,Kenya,Athletics,F,20,0,0,0
Isiah Kiplangat Koech,Kenya,Athletics,M,18,0,0,0
Vera Koedooder,Netherlands,Cycling - Track,F,28,0,0,0
Andres Kogovsek,Argentina,Handball,M,38,0,0,0
Tahmina Kohistani,Afghanistan,Athletics,F,23,0,0,0
Kara Kohler,United States of America,Rowing,F,21,0,0,1
Fabienne Kohlmann,Germany,Athletics,F,22,0,0,0
Martina Kohlova,Slovakia,Canoe Sprint,F,27,0,0,0
Byron Kokalanis,Greece,Sailing,M,26,0,0,0
Roland Kokeny,Hungary,Canoe Sprint,M,36,1,0,0
Konstantinos Kokkinakis,Greece,Water Polo,M,36,0,0,0
Nikita Kokorin,Kazakhstan,Water Polo,M,23,0,0,0
Asmir Kolasinac,Serbia,Athletics,M,27,0,0,0
Marek Kolbowicz,Poland,Rowing,M,41,0,0,0
Lyudmila Kolchanova,Russian Federation,Athletics,F,32,0,0,0
Yoan Kolev,Bulgaria,Sailing,M,21,0,0,0
Stefan Kollner,Germany,Modern Pentathlon,M,27,0,0,0
Alexandr Kolobnev,Russian Federation,Cycling - Road,M,31,0,0,0
Violetta Kolobova,Russian Federation,Fencing,F,21,0,0,0
Kristyna Kolocova,Czech Republic,Beach Volleyball,F,24,0,0,0
Evgeniia Kolodko,Russian Federation,Athletics,F,22,0,1,0
Pawel Kolodzinski,Poland,Sailing,M,24,0,0,0
Irfan Kolothum Thodi,India,Athletics,M,22,0,0,0
Mikayel Koloyan,Armenia,Swimming,M,29,0,0,0
Yulia Koltunova,Russian Federation,Diving,F,23,0,0,0
Alexa Komarnycky,Canada,Swimming,F,22,0,0,0
Rika Komazawa,Japan,Hockey,F,30,0,0,0
Nanthana Komwong,Thailand,Table Tennis,F,31,0,0,0
Moussa Konate,Senegal,Football,M,19,0,0,0
Yuliya Kondakova,Russian Federation,Athletics,F,30,0,0,0
Ai Kondo,Japan,Sailing,F,31,0,0,0
Nataliya Kondratyeva,Russian Federation,Judo,F,26,0,0,0
Kinapeya Romeo Kone,Cote d'Ivoire,Judo,M,32,0,0,0
Oumar Kone,Mali,Judo,M,27,0,0,0
Aneta Konieczna,Poland,Canoe Sprint,F,34,0,0,0
Yukari Konishi,Japan,Shooting,F,33,0,0,0
Oleksandr Konovaliuk,Ukraine,Rowing,M,34,0,0,0
Eleftherios Konsolas,Greece,Rowing,M,23,0,0,0
Irina Konstantinova-Bontemps,Bulgaria,Sailing,F,36,0,0,0
Pavlos Kontides,Cyprus,Sailing,M,22,0,1,0
Sofya Konukh,Russian Federation,Water Polo,F,32,0,0,0
Marek Konwa,Poland,Cycling - Mountain Bike,M,22,0,0,0
Tina Konyot,United States of America,Equestrian,F,50,0,0,0
Jacheol Koo,Republic of Korea,Football,M,23,0,0,1
Kien Keat Koo,Malaysia,Badminton,M,26,0,0,0
Jiri Kopac,Czech Republic,Rowing,M,30,0,0,0
Marko Kopljar,Croatia,Handball,M,26,0,0,1
Pavol Kopp,Slovakia,Shooting,M,33,0,0,0
Daria Korczynska,Poland,Athletics,F,31,0,0,0
Linn-Kristin Koren,Norway,Handball,F,28,1,0,0
Oliver Korn,Germany,Hockey,M,28,1,0,0
Sergei Kornilenko,Belarus,Football,M,29,0,0,0
Larisa Korobeynikova,Russian Federation,Fencing,F,25,0,0,0
Adam Korol,Poland,Rowing,M,37,0,0,0
Ilya Korotkov,Russian Federation,Athletics,M,28,0,0,0
Evgeny Korotyshkin,Russian Federation,Swimming,M,29,0,1,0
Alexey Korovashkov,Russian Federation,Canoe Sprint,M,20,0,0,1
Andrei Korshunov,Russian Federation,Equestrian,M,46,0,0,0
Lee-El KORSIZ,Israel,Sailing,F,28,0,0,0
Ilona Korstin,Russian Federation,Basketball,F,32,0,0,0
Pawel Korzeniowski,Poland,Swimming,M,27,0,0,0
Maxim Kosarev,Russian Federation,Shooting,M,43,0,0,0
Birgit Koschischek,Austria,Swimming,F,25,0,0,0
Alexander Kosenkow,Germany,Athletics,M,35,0,0,0
Vincent Kiplangat Kosgei,Kenya,Athletics,M,26,0,0,0
Tatiana Kosheleva,Russian Federation,Volleyball,F,23,0,0,0
Artem Kosinov,Kazakhstan,Athletics,M,26,0,0,0
Matias Koski,Finland,Swimming,M,18,0,0,0
Grzegorz Kosok,Poland,Volleyball,M,26,0,0,0
Yerkebulan Kossayev,Kazakhstan,Judo,M,23,0,0,0
Aleksandar Stoyanov Kostadinov,Bulgaria,Wrestling,M,24,0,0,0
David Kostelecky,Czech Republic,Shooting,M,37,0,0,0
Ekaterina Kostetskaya,Russian Federation,Athletics,F,25,0,0,0
Olena Kostevych,Ukraine,Shooting,F,27,0,0,2
Adriana Kostiw,Brazil,Sailing,F,38,0,0,0
Pavle Kostov,Croatia,Sailing,M,24,0,0,0
Boyanka Kostova,Azerbaijan,Weightlifting,F,19,0,0,0
Singh Kothajit,India,Hockey,M,19,0,0,0
Aleksandra Kotlyarova,Uzbekistan,Athletics,F,23,0,0,0
Rene Philippe Kouassi,Cote d'Ivoire,Archery,M,32,0,0,0
Wael Koubrosli,Lebanon,Swimming,M,24,0,0,0
Sviatlana Kouhan,Belarus,Athletics,F,31,0,0,0
Petr Koukal,Czech Republic,Badminton,M,26,0,0,0
Denis Koulakov,Russian Federation,Shooting,M,29,0,0,0
Audrey Koumba,Gabon,Judo,F,23,0,0,0
Tandjigora Koumba Abdoulaye,Gabon,Football,M,22,0,0,0
Cheikhou Kouyate,Senegal,Football,M,22,0,0,0
Nikola Kovacevic,Serbia,Volleyball,M,29,0,0,0
Uros Kovacevic,Serbia,Volleyball,M,19,0,0,0
Katalin Kovacs,Hungary,Canoe Sprint,F,36,1,1,0
Sarolta Kovacs,Hungary,Modern Pentathlon,F,21,0,0,0
Tamas Kovacs,Hungary,Athletics,M,28,0,0,0
Zsofia Kovacs,Hungary,Triathlon,F,24,0,0,0
Lyudmyla Kovalenko,Ukraine,Athletics,F,23,0,0,0
Nazar Kovalenko,Ukraine,Athletics,M,25,0,0,0
Sergei Kovalenko,Russian Federation,Shooting,M,42,0,0,0
Evgeny Kovalev,Russian Federation,Cycling - Track,M,23,0,0,0
Ivan Kovalev,Russian Federation,Cycling - Track,M,26,0,0,0
Nikolay Kovalev,Russian Federation,Fencing,M,25,0,0,1
Ainars Kovals,Latvia,Athletics,M,30,0,0,0
Mariia Kovtunovskaia,Russian Federation,Water Polo,F,23,0,0,0
Yoann Kowal,France,Athletics,M,25,0,0,0
Katarzyna Kowalska,Poland,Athletics,F,27,0,0,0
Kevin Kowalyk,Canada,Rowing,M,31,0,0,0
Danuta Kozak,Hungary,Canoe Sprint,F,25,2,0,0
Ayman Kozhakhmetova,Kazakhstan,Athletics,F,21,0,0,0
Sholpan Kozhakhmetova,Kazakhstan,Athletics,F,21,0,0,0
Anastasiia Kozhenkova,Ukraine,Rowing,F,26,1,0,0
Aleksei Kozlov,Belarus,Football,M,23,0,0,0
Kacper Kozlowski,Poland,Athletics,M,25,0,0,0
Dominik Kozma,Hungary,Swimming,M,21,0,0,0
Primoz Kozmus,Slovenia,Athletics,M,32,0,1,0
Adzo Kpossi,Togo,Swimming,F,13,0,0,0
Marek Krajcovic,Slovakia,Canoe Sprint,M,20,0,0,0
Iurii Krakovetskii,Kyrgyzstan,Judo,M,19,0,0,0
Milka Kraljev,Argentina,Rowing,F,29,0,0,0
Matija Kranjc,Slovenia,Athletics,M,28,0,0,0
Sabine Krantz,Germany,Athletics,F,31,0,0,0
Vladimir Krasnov,Russian Federation,Athletics,M,21,0,0,0
Franciela Krasucki,Brazil,Athletics,F,24,0,0,0
Gesa Felicitas Krause,Germany,Athletics,F,20,0,0,0
Anna Kravchenko,Ukraine,Rowing,F,26,0,0,0
Kalinikos Kreanga,Greece,Table Tennis,M,40,0,0,0
Jan Kreisinger,Czech Republic,Athletics,M,27,0,0,0
Peter Kretschmer,Germany,Canoe Sprint,M,20,1,0,0
Roman Kreuziger,Czech Republic,Cycling - Road,M,26,0,0,0
Yuliya Krevsun,Ukraine,Athletics,F,31,0,0,0
Berit Kristensen,Denmark,Handball,F,29,0,0,0
Kari Kristjansson,Iceland,Handball,M,31,0,0,0
Alexander Kristoff,Norway,Cycling - Road,M,25,0,0,1
Antonina Krivoshapka,Russian Federation,Athletics,F,25,0,1,0
Andrey Krivov,Russian Federation,Athletics,M,26,0,0,0
Dmytro Krivtsov,Ukraine,Cycling - Road,M,27,0,0,0
Christina Krogshede,Denmark,Handball,F,30,0,0,0
Ranomi Kromowidjojo,Netherlands,Swimming,F,21,2,1,0
Sergey Krovyakov,Turkmenistan,Swimming,M,21,0,0,0
Lukas Krpalek,Czech Republic,Judo,M,21,0,0,0
Natasa Krsmanovic,Serbia,Volleyball,F,27,0,0,0
Stephan Krueger,Germany,Rowing,M,23,0,0,0
Cassidy Krug,United States of America,Diving,F,27,0,0,0
A G Kruger,United States of America,Athletics,M,33,0,0,0
Eric Kruger,Germany,Athletics,M,24,0,0,0
Tiffany Kruger,South Africa,Canoe Sprint,F,25,0,0,0
Valentin Kruglyakov,Russian Federation,Athletics,M,26,0,0,0
Simona Krupeckaite,Lithuania,Cycling - Track,F,29,0,0,0
Richard Kruse,Great Britain,Fencing,M,29,0,0,0
Kamil Krynski,Poland,Athletics,M,25,0,0,0
Svetlana Kryuchkova,Russian Federation,Volleyball,F,27,0,0,0
Pavel Kryvitski,Belarus,Athletics,M,28,0,0,0
Olena Kryvytska,Ukraine,Fencing,F,25,0,0,0
Adam Kszczot,Poland,Athletics,M,22,0,0,0
Robert Kubaczyk,Poland,Athletics,M,26,0,0,0
Premysl Kubala,Czech Republic,Beach Volleyball,M,38,0,0,0
Michal Kubiak,Poland,Volleyball,M,24,0,0,0
Satomi Kubokura,Japan,Athletics,F,30,0,0,0
Lukasz Kubot,Poland,Tennis,M,30,0,0,0
Dariusz Kuc,Poland,Athletics,M,26,0,0,0
Arben Kucana,Albania,Shooting,M,44,0,0,0
Sergey Kucherov,Russian Federation,Cycling - Track,M,32,0,0,0
Sergey Kucheryanu,Russian Federation,Athletics,M,27,0,0,0
Yulduz Kuchkarova,Uzbekistan,Swimming,F,18,0,0,0
Anton Kucmin,Slovakia,Athletics,M,28,0,0,0
Kemal Kucukbay,Turkey,Cycling - Road,M,29,0,0,0
Slawomir Kuczko,Poland,Swimming,M,27,0,0,0
Kamil Kuczynski,Poland,Cycling - Track,M,27,0,0,0
Ruslan Kudayev,Uzbekistan,Fencing,M,32,0,0,0
Yuriy Kudinov,Kazakhstan,Swimming,M,33,0,0,0
Jan Kudlicka,Czech Republic,Athletics,M,24,0,0,0
Valeriy Kudryashov,Ukraine,Sailing,M,28,0,0,0
Besik Kudukhov,Russian Federation,Wrestling,M,25,0,1,0
Sviatlana Kudzelich,Belarus,Athletics,F,25,0,0,0
Jochen Kuehner,Germany,Rowing,M,31,0,0,0
Martin Kuehner,Germany,Rowing,M,31,0,0,0
Andreas Kuffner,Germany,Rowing,M,25,1,0,0
Simone Kuhn,Switzerland,Beach Volleyball,F,31,0,0,0
Corinna Kuhnle,Austria,Canoe Slalom,F,25,0,0,0
Takumi Kuki,Japan,Athletics,M,20,0,0,0
Yolane Kukla,Australia,Swimming,F,16,1,0,0
Ariana Kukors,United States of America,Swimming,F,23,0,0,0
Mikhail Kukushkin,Kazakhstan,Tennis,M,24,0,0,0
Piotr Kula,Poland,Sailing,M,25,0,0,0
Iryna Kulesha,Belarus,Weightlifting,F,26,0,0,1
Piotr Kuleta,Poland,Canoe Sprint,M,23,0,0,0
Jaroslav Kulhavy,Czech Republic,Cycling - Mountain Bike,M,27,1,0,0
Petra Kulichova,Czech Republic,Basketball,F,27,0,0,0
Tamas Kulifai,Hungary,Canoe Sprint,M,23,0,1,0
Serhiy Kulish,Ukraine,Shooting,M,19,0,0,0
Saki Kumagai,Japan,Football,F,21,0,1,0
Caroline Kumahara,Brazil,Table Tennis,F,17,0,0,0
Amit Kumar,India,Wrestling,M,18,0,0,0
Sandeep Kumar,India,Rowing,M,24,0,0,0
Sushil Kumar,India,Wrestling,M,29,0,1,0
Vijay Kumar,India,Shooting,M,26,0,1,0
Deepika Kumari,India,Archery,F,18,0,0,0
Sahana Kumari,India,Athletics,F,30,0,0,0
Cheng-Wei Kuo,Taipei (Chinese Taipei),Archery,M,28,0,0,0
Hsing-Chun Kuo,Taipei (Chinese Taipei),Weightlifting,F,18,0,0,0
Zaur Kuramagomedov,Russian Federation,Wrestling,M,24,0,0,1
Olga Kurban,Russian Federation,Athletics,F,24,0,0,0
Kurban Kurbanov,Uzbekistan,Wrestling,M,27,0,0,0
Bartosz Kurek,Poland,Volleyball,M,23,0,0,0
Maria Kurjo,Germany,Diving,F,22,0,0,0
Narumi Kurosu,Japan,Modern Pentathlon,F,20,0,0,0
Mike Kurt,Switzerland,Canoe Slalom,M,32,0,0,0
Lajos Kurthy,Hungary,Athletics,M,25,0,0,0
Amanda Kurtovic,Norway,Handball,F,21,1,0,0
Kurt Kuschela,Germany,Canoe Sprint,M,23,1,0,0
Natalya Kushch-Mazuryk,Ukraine,Athletics,F,29,0,0,0
Denys Kushnirov,Ukraine,Shooting,M,19,0,0,0
Diaz Kusumawardani,Indonesia,Shooting,F,16,0,0,0
Geofrey Kusuro,Uganda,Athletics,M,23,0,0,0
Mateusz Kusznierewicz,Poland,Sailing,M,37,0,0,0
Phobay Kutu-Akoi,Liberia,Athletics,F,24,0,0,0
Marina Kuzina,Russian Federation,Basketball,F,27,0,0,0
Natalia Kuziutina,Russian Federation,Judo,F,23,0,0,0
Igor Kuzmenok,Belarus,Football,M,22,0,0,0
Afanasijs Kuzmins,Latvia,Shooting,M,65,0,0,0
Evgeny Kuznetsov,Russian Federation,Diving,M,22,0,1,0
Mikhail Kuznetsov,Russian Federation,Canoe Slalom,M,27,0,0,0
Viktor Kuznetsov,Ukraine,Athletics,M,26,0,0,0
Sara Kvaerno,Norway,Badminton,F,30,0,0,0
Illya Kvasha,Ukraine,Diving,M,24,0,0,0
Petra Kvitova,Czech Republic,Tennis,F,22,0,0,0
Andriy Kvyatkovskyy,Ukraine,Wrestling,M,22,0,0,0
Yasmin Kwadwo,Germany,Athletics,F,21,0,0,0
Pauline Kwalea,Solomon Islands,Athletics,F,24,0,0,0
Michal Kwiatkowski,Poland,Cycling - Road,M,22,0,0,0
Song Hwa Kwon,Democratic People's Republic  of Korea,Football,F,20,0,0,0
Un Sil Kwon,Democratic People's Republic  of Korea,Archery,F,28,0,0,0
Kaylyn Mckenzie Kyle,Canada,Football,F,23,0,0,1
Mark Kyle,Ireland,Equestrian,M,39,0,0,0
Erik Kynard,United States of America,Athletics,M,21,0,1,0
Maung Kyu,Myanmar,Shooting,M,42,0,0,0
Nicholas la Cava,United States of America,Rowing,M,25,0,0,0
Simona la Mantia,Italy,Athletics,F,29,0,0,0
Rosario la Mastra,Italy,Athletics,M,28,0,0,0
Amine Laalou,Morocco,Athletics,M,30,0,0,0
Soumiya Labani,Morocco,Athletics,F,37,0,0,0
Audrey Labeau,France,Diving,F,27,0,0,0
Lissa Labiche,Seychelles,Athletics,F,19,0,0,0
Julie Labonte,Canada,Athletics,F,22,0,0,0
Marion Laborde,France,Basketball,F,25,0,1,0
Romana Labounkova,Czech Republic,Cycling - BMX,F,23,0,0,0
Mykola Labovskyy,Ukraine,Athletics,M,29,0,0,0
Zakaria Labyad,Morocco,Football,M,19,0,0,0
Genevieve Lacaze,Australia,Athletics,F,23,0,0,0
Lukas Lacko,Slovakia,Tennis,M,24,0,0,0
Blazenko Lackovic,Croatia,Handball,M,31,0,0,1
Camille Lacourt,France,Swimming,M,27,0,0,0
Alexandra Lacrabere,France,Handball,F,25,0,0,0
Audrey Lacroix,Canada,Swimming,F,28,0,0,0
